Word,Freq,Rank
the,4594,1
and,2109,2
a,2109,3
of,2068,4
to,1371,5
he,1253,6
in,1216,7
was,1103,8
his,955,9
that,798,10
i,765,11
with,726,12
it,715,13
as,614,14
but,592,15
you,526,16
had,514,17
on,432,18
at,428,19
is,420,20
for,397,21
like,313,22
said,307,23
not,302,24
be,296,25
have,282,26
or,280,27
by,263,28
one,261,29
an,239,30
this,235,31
were,232,32
him,230,33
all,226,34
from,226,35
which,225,36
man,225,37
"""i",222,38
father,219,39
they,214,40
if,212,41
more,211,42
there,206,43
so,186,44
my,185,45
very,183,46
out,174,47
some,170,48
up,168,49
about,167,50
who,167,51
could,165,52
than,159,53
are,149,54
been,148,55
brown,146,56
rather,142,57
when,141,58
into,140,59
only,138,60
little,137,61
what,133,62
would,130,63
other,129,64
no,125,65
then,122,66
me,119,67
old,116,68
know,116,69
her,111,70
think,110,71
down,109,72
looked,109,73
two,108,74
will,107,75
seemed,106,76
she,106,77
we,105,78
even,103,79
do,103,80
did,102,81
something,99,82
just,98,83
their,97,84
mr,95,85
has,92,86
such,91,87
still,90,88
don't,90,89
quite,87,90
black,84,91
see,84,92
over,83,93
priest,83,94
your,83,95
long,80,96
made,80,97
can,80,98
any,80,99
great,79,100
heard,79,101
never,76,102
before,75,103
face,74,104
asked,74,105
"brown,",73,106
them,72,107
after,72,108
back,72,109
came,72,110
must,71,111
head,70,112
though,70,113
say,69,114
most,69,115
might,69,116
almost,66,117
"""but",66,118
went,65,119
really,64,120
first,64,121
tell,63,122
flambeau,62,123
own,61,124
eyes,61,125
stood,60,126
its,60,127
much,60,128
come,59,129
"said,",59,130
look,59,131
"""and",57,132
because,57,133
sort,57,134
yet,56,135
those,56,136
should,56,137
saw,56,138
round,55,139
himself,55,140
where,54,141
found,54,142
now,53,143
men,53,144
door,52,145
cried,52,146
it.,52,147
against,51,148
figure,51,149
"him,",51,150
got,51,151
thought,51,152
"""you",50,153
another,50,154
him.,50,155
our,50,156
without,49,157
under,49,158
seen,49,159
both,49,160
across,49,161
looking,49,162
these,48,163
"it,",48,164
may,48,165
turned,48,166
am,47,167
through,47,168
it's,47,169
white,47,170
replied,46,171
towards,46,172
small,46,173
go,46,174
here,46,175
"""the",46,176
three,45,177
same,45,178
how,45,179
time,44,180
"""it",44,181
take,44,182
answered,44,183
why,44,184
thing,44,185
once,43,186
whole,43,187
house,43,188
mean,43,189
"""he",43,190
dark,43,191
place,42,192
always,42,193
being,42,194
hair,42,195
get,42,196
things,41,197
young,40,198
many,40,199
last,40,200
nothing,40,201
began,40,202
red,40,203
certain,39,204
brown.,39,205
end,39,206
off,39,207
left,39,208
can't,39,209
well,38,210
also,38,211
sir,38,212
kind,37,213
"""what",37,214
behind,37,215
garden,37,216
every,37,217
put,37,218
make,37,219
"flambeau,",37,220
between,36,221
want,36,222
away,36,223
front,35,224
called,35,225
too,35,226
suddenly,35,227
way,35,228
dr,34,229
took,34,230
find,34,231
friend,34,232
"""that",34,233
voice,34,234
going,34,235
already,33,236
glass,32,237
name,32,238
family,32,239
good,32,240
big,32,241
again,32,242
"then,",32,243
grey,32,244
room,31,245
hat,30,246
people,30,247
told,30,248
"and,",30,249
few,30,250
us,30,251
he's,30,252
shall,30,253
boulnois,30,254
half,29,255
ran,29,256
side,29,257
